Phone_ID,Brand,RAM_GB,Storage_GB,Screen_Size,Price_USD,Battery_mAh,OS,Rating,Quantity_Sold,Sales_Revenue,Profit,Location,month,year
1,OnePlus,8,256,7.15,395,3227,Android,4.3,66,26070,6517.5,Kolkata,February,2020
2,Google,12,256,6.44,228,5881,Android,3.5,100,22800,5700,Delhi,April,2024
3,Xiaomi,16,1024,7.23,905,3857,iOS,4.8,496,,112220,Bhopal,September,2022
4,Google,16,512,6.49,,4268,iOS,4.7,319,389180,97295,Vijayawada,October,2023
5,Google,16,128,7.03,,5865,Android,4,364,78260,,Patna,July,2024
6,Apple,8,1024,6.07,,4017,Android,3.9,132,132528,33132,Mumbai,August,2020
7,Xiaomi,12,128,6.87,1139,5575,Android,3.8,355,404345,101086.25,Coimbatore,March,2020
8,Xiaomi,6,512,7.28,1166,3949,Android,4.4,173,201718,50429.5,Vijayawada,November,2020
9,Xiaomi,6,256,6.43,1300,3426,Android,4.3,339,440700,110175,Lucknow,January,2023
10,Google,8,128,5.45,428,5089,Android,3.4,311,133108,33277,Vijayawada,September,2022
11,OnePlus,16,64,5.67,1161,3464,Android,4.3,414,480654,120163.5,Lucknow,July,2021
12,Xiaomi,4,64,5.5,914,4645,Android,3.5,98,89572,22393,Hyderabad,May,2021
13,Huawei,8,1024,5.62,1183,3277,Android,3,55,65065,16266.25,Indore,May,2022
14,Google,8,512,5.77,772,5883,Android,4.4,166,128152,32038,Indore,September,2020
15,Apple,12,1024,6.39,,3018,Android,4.3,167,135938,33984.5,Delhi,November,2022
16,OnePlus,6,1024,6.47,525,3065,iOS,3.8,312,163800,40950,Thiruvananthapuram,August,2022
17,Huawei,8,1024,6.07,1074,3166,Android,4.1,402,431748,107937,Bangalore,August,2022
18,Huawei,8,64,6.54,558,4608,Android,4.9,484,270072,67518,Hyderabad,February,2024
19,Apple,16,64,5.2,523,3402,Android,4.2,423,221229,55307.25,Thiruvananthapuram,June,2020
20,OnePlus,16,1024,5.22,364,3408,Android,4.3,178,64792,16198,Pune,February,2024
21,Google,4,64,5.43,997,5159,Android,3.1,446,444662,111165.5,Delhi,September,2023
22,Samsung,12,512,6.3,654,3596,iOS,3.3,220,143880,35970,Mumbai,February,2021
23,OnePlus,4,1024,5.53,1376,5698,iOS,3.6,76,104576,26144,Delhi,March,2022
24,Apple,16,64,5.71,1350,4062,iOS,4.1,248,334800,83700,Chandigarh,September,2021
25,Huawei,6,128,6,392,5152,Android,4.6,421,165032,41258,Delhi,January,2021
26,Google,16,1024,7.03,826,3323,Android,3.6,436,360136,90034,Thiruvananthapuram,November,2024
27,OnePlus,12,1024,5.03,729,4982,Android,3.7,363,264627,66156.75,Mumbai,November,2020
28,Samsung,16,512,6.62,1233,4437,Android,3.5,394,,121450.5,Surat,August,2020
29,Samsung,12,256,6.67,291,3428,Android,3.5,146,42486,10621.5,Surat,June,2022
30,Xiaomi,12,256,7,,5682,iOS,4.9,66,22308,5577,Patna,November,2020
31,Xiaomi,12,512,7.33,680,5777,Android,4.3,222,150960,37740,Vijayawada,August,2021
32,Apple,12,512,5.05,648,5936,Android,3.3,150,97200,24300,Hyderabad,November,2021
33,OnePlus,12,512,5.38,1068,4084,Android,4.4,235,250980,62745,Bhopal,October,2021
34,OnePlus,6,256,7.22,539,4635,Android,4.4,233,125587,31396.75,Delhi,July,2022
35,Huawei,4,512,6.15,1275,4377,Android,4.3,487,620925,155231.25,Surat,May,2024
36,Huawei,8,64,6.41,665,3392,Android,3.3,264,175560,43890,Mysore,November,2021
37,Huawei,4,1024,6.66,917,5251,Android,3.8,300,275100,68775,Indore,April,2020
38,Xiaomi,12,1024,6.7,,5305,Android,3.2,265,264470,66117.5,Hyderabad,May,2021
39,OnePlus,6,128,7.33,674,5533,Android,4.6,78,52572,13143,Jaipur,November,2021
40,OnePlus,16,128,7.49,600,4540,Android,4.3,151,90600,22650,Kolkata,October,2022
